dateHour,pageViews,organicSearches,sessions
2019050800,79,16,47
2019050801,77,26,45
2019050802,53,15,32
2019050803,69,21,44
2019050804,73,21,41
2019050807,31,6,19
2019050808,80,25,54
2019050809,101,30,71
2019050810,143,38,71
2019050811,95,29,52
2019050812,68,27,49
2019050813,74,22,48
2019050814,172,30,116
2019050815,158,37,90
2019050816,72,24,51
2019050817,50,16,34
2019050818,38,21,26
2019050819,28,14,24
2019050820,68,18,37
2019050821,46,15,33
2019050822,33,13,23
2019050823,56,18,32
2019050900,47,18,36
2019050901,53,24,37
2019050902,71,23,50
2019050903,67,29,47
2019050904,65,27,47
2019050905,62,27,44
2019050906,54,21,43
2019050907,88,27,51
2019050908,97,35,61
2019050909,70,21,52
2019050910,92,29,55
2019050911,104,28,61
2019050912,89,23,53
2019050913,103,23,57
2019050914,82,25,50
2019050915,73,24,47
2019050916,79,26,48
2019050917,59,15,36
2019050918,48,18,34
2019050919,35,14,27
2019050920,35,9,27
2019050921,48,14,31
2019050922,65,15,38
2019050923,46,14,27
2019051000,65,16,45
2019051001,48,17,30
2019051002,75,11,36
2019051003,47,15,32
2019051004,76,26,46
2019051005,93,18,46
2019051006,88,14,40
2019051007,72,21,43
2019051008,283,21,150
2019051009,196,19,104
2019051010,153,25,85
2019051011,106,21,75
2019051012,179,23,106
2019051013,197,27,110
2019051014,163,19,86
2019051015,128,26,71
2019051016,75,20,49
2019051017,72,13,39
2019051018,62,12,40
2019051019,51,11,27
2019051020,64,8,35
2019051021,44,7,30
2019051022,62,12,27
2019051023,29,11,24
2019051100,26,6,23
2019051101,57,12,36
2019051102,41,10,23
2019051103,40,11,28
2019051104,56,8,34
2019051105,57,11,31
2019051106,67,14,33
2019051107,75,8,29
2019051108,65,14,48
2019051109,72,8,39
2019051110,54,15,31
2019051111,60,17,44
2019051112,38,12,34
2019051113,54,19,38
2019051114,57,8,31
2019051115,46,16,40
2019051116,42,10,25
2019051117,60,15,34
2019051118,33,9,23
2019051119,41,5,22
2019051120,21,6,17
2019051121,25,6,20
2019051122,38,11,30
2019051123,29,8,20
2019051200,26,11,26
2019051201,40,12,26
2019051202,48,10,38
2019051203,32,9,22
2019051204,30,11,26
2019051205,38,6,23
2019051206,50,12,32
2019051207,63,16,44
2019051208,60,10,43
2019051209,64,13,43
2019051210,105,15,65
2019051211,100,15,58
2019051212,98,24,61
2019051213,69,14,42
2019051214,60,15,38
2019051215,56,17,42
2019051216,51,10,33
2019051217,53,14,34
2019051218,43,6,24
2019051219,38,15,28
2019051220,37,12,22
2019051221,59,14,29
2019051222,40,12,24
2019051223,44,15,30
2019051300,35,9,30
2019051301,60,11,34
2019051302,78,15,54
2019051303,84,25,58
2019051304,67,13,37
2019051305,82,29,54
2019051306,71,26,45
2019051307,74,19,45
2019051308,120,26,67
2019051309,119,30,79
2019051310,131,25,70
2019051311,68,25,53
2019051312,77,25,55
2019051313,91,25,61
2019051314,78,25,55
2019051315,75,32,59
2019051316,75,30,54
2019051317,39,16,32
2019051318,50,13,30
2019051319,45,17,32
2019051320,48,13,33
2019051321,64,16,35
2019051322,52,16,40
2019051323,40,14,28
2019051400,40,20,29
2019051401,60,11,31
2019051402,43,14,37
2019051403,59,21,42
2019051404,68,26,47
2019051405,65,32,57
2019051406,75,38,56
2019051407,122,21,63
2019051408,75,23,57
2019051409,165,26,113
2019051410,187,32,127
2019051411,158,28,78
2019051412,104,20,60
2019051413,125,33,76
2019051414,107,27,58
2019051415,91,29,59
2019051416,89,22,53
2019051417,56,14,42
2019051418,32,7,25
2019051419,50,12,29
2019051420,82,16,37
2019051421,58,14,29
2019051422,62,14,37
2019051423,39,9,33
2019051500,44,17,37
2019051501,52,15,36
2019051502,58,16,42
2019051503,57,19,38
2019051504,85,27,66
2019051505,79,26,57
2019051506,80,29,62
2019051507,99,27,66
2019051508,86,23,60
2019051509,89,24,72
2019051510,113,26,80
2019051511,118,29,60
2019051512,128,27,93
2019051513,76,25,56
2019051514,93,21,62
2019051515,95,22,62
2019051516,101,31,60
2019051517,53,12,41
2019051518,36,12,33
2019051519,47,15,28
2019051520,46,11,27
2019051521,37,10,28
2019051522,56,11,30
2019051523,52,14,39
2019051600,41,13,37
2019051601,64,17,45
2019051602,67,17,52
2019051603,60,15,39
2019051604,72,22,56
2019051605,105,27,48
2019051606,103,31,75
2019051607,124,16,75
2019051608,120,33,78
2019051609,267,35,141
2019051610,193,26,97
2019051611,152,27,73
2019051612,127,30,79
2019051613,93,27,64
2019051614,93,26,68
2019051615,54,14,42
2019051616,85,19,52
2019051617,66,19,51
2019051618,37,8,28
2019051619,63,10,27
2019051620,36,9,25
