euid,leid,member_rating,optin_time,confirm_time,country_code,region,last_changed,notes,date_added
000b09860b,308851471,3,2019-10-16,2019-10-16,us,fl,2019-10-21,NA,2020-03-02
000d76e3f8,71513779,2,2019-05-22,2019-05-22,in,tn,2020-01-09,NA,2020-03-02
0010ca98c6,62999259,2,2018-11-19,2018-11-19,lu,lu,2019-10-21,NA,2020-03-02
00129d76f9,68149639,2,2019-02-27,2019-02-27,us,ca,2020-01-09,NA,2020-03-02
0015acbe09,70879775,2,2019-05-08,2019-05-08,NA,NA,2020-01-09,NA,2020-03-02
0016b498e5,311729799,2,2020-01-30,2020-01-30,NA,NA,2020-01-30,NA,2020-03-02
0018a923fd,63055763,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
0020da8ef3,205614271,2,2019-08-13,2019-08-13,in,as,2020-01-09,NA,2020-03-02
0022f8f606,311977719,2,2020-02-12,2020-02-12,NA,NA,2020-02-12,NA,2020-03-02
002352a44b,307672539,2,2019-08-29,2019-08-29,ve,a,2020-01-09,NA,2020-03-02
00238a7aea,309245551,2,2019-11-04,2019-11-04,mx,jal,2019-11-04,NA,2020-03-02
00266d0c35,316674984,2,2020-02-27,2020-02-27,NA,NA,2020-02-27,NA,2020-03-02
0028198520,62999171,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
002a11d0d5,70785059,2,2019-01-31,2019-05-06,NA,NA,2020-01-09,NA,2020-03-02
002ba36e93,311622211,2,2020-01-22,2020-01-22,NA,NA,2020-01-22,NA,2020-03-02
002cda8d0a,311474707,2,2020-01-15,2020-01-15,NA,NA,2020-01-15,NA,2020-03-02
002ecbaf64,103945163,2,2019-07-10,2019-07-10,us,fl,2020-01-09,NA,2020-03-02
00345810c8,69755383,2,2019-04-10,2019-04-10,sg,01,2019-10-21,NA,2020-03-02
00350c3d10,70784179,2,2019-02-12,2019-05-06,in,tg,2020-01-09,NA,2020-03-02
00375b72ff,70775779,2,2019-03-25,2019-05-06,de,hh,2020-01-09,NA,2020-03-02
003b5bed4e,310634399,2,2019-12-08,2019-12-08,NA,NA,2019-12-08,NA,2020-03-02
003eac3b41,311636507,2,2020-01-23,2020-01-23,NA,NA,2020-01-23,NA,2020-03-02
003f085dab,70777051,2,2019-03-17,2019-05-06,NA,NA,2020-01-09,NA,2020-03-02
00432fb13c,63051175,2,2018-11-19,2018-11-19,us,ca,2020-01-27,NA,2020-03-02
004bb58158,67793339,2,2019-02-21,2019-02-21,in,tg,2020-01-09,NA,2020-03-02
004cd1fe86,67517307,2,2019-02-15,2019-02-15,pe,lma,2020-01-09,NA,2020-03-02
0050788e60,70776787,2,2018-10-31,2019-05-06,in,ka,2020-01-09,NA,2020-03-02
00528e0982,308349183,2,2019-09-26,2019-09-26,de,nw,2019-10-21,NA,2020-03-02
0052c09156,308356415,2,2019-09-26,2019-09-26,NA,NA,2019-10-21,NA,2020-03-02
0056d43a0f,70774555,2,2019-03-31,2019-05-06,in,ka,2020-01-09,NA,2020-03-02
005b94de54,63054791,2,2018-11-19,2018-11-19,NA,NA,2019-10-21,NA,2020-03-02
0063601340,215302879,2,2019-08-15,2019-08-15,us,ca,2020-01-09,NA,2020-03-02
0065a86c93,312097640,2,2020-02-21,2020-02-21,NA,NA,2020-02-21,NA,2020-03-02
0065dbbdef,63052707,2,2018-11-19,2018-11-19,ar,b,2019-10-21,NA,2020-03-02
006ff8732b,63055367,2,2018-11-19,2018-11-19,in,ka,2019-10-21,NA,2020-03-02
0071d17ba2,62999255,2,2018-11-19,2018-11-19,uk,wbk,2020-01-09,NA,2020-03-02
007551dee7,309592539,2,2019-11-12,2019-11-12,us,ny,2019-11-12,NA,2020-03-02
0077edfaf9,309217679,3,2019-11-04,2019-11-04,NA,NA,2019-11-04,NA,2020-03-02
007c7d4387,205614751,2,2019-08-13,2019-08-13,sg,01,2020-01-09,NA,2020-03-02
007f280b88,70775295,2,2018-08-17,2019-05-06,ve,a,2020-01-09,NA,2020-03-02
0080addb3b,312025724,2,2020-02-17,2020-02-17,NA,NA,2020-02-17,NA,2020-03-02
00811c2fb5,73253859,2,2019-06-09,2019-06-09,ca,ab,2019-10-21,NA,2020-03-02
0081d8fc6f,309149659,2,2019-10-29,2019-10-29,mx,pue,2020-01-09,NA,2020-03-02
0084e7bf68,308039539,2,2019-09-11,2019-09-11,NA,NA,2020-01-09,NA,2020-03-02
0088a04902,62996255,5,2018-11-19,2018-11-19,za,wc,2020-01-09,NA,2020-03-02
0088fc93d3,70773031,2,2019-01-11,2019-05-06,in,ka,2020-01-09,NA,2020-03-02
008ab09901,100457359,2,2019-07-07,2019-07-07,NA,NA,2019-10-21,NA,2020-03-02
008d9f1b58,316666052,2,2020-02-27,2020-02-27,NA,NA,2020-02-27,NA,2020-03-02
009208e4d9,70776363,2,2018-12-22,2019-05-06,in,tn,2020-01-09,NA,2020-03-02
0095ce96cb,308039571,2,2019-09-11,2019-09-11,NA,NA,2020-01-09,NA,2020-03-02
0096571bef,67959487,2,2019-02-23,2019-02-23,in,mh,2020-01-09,NA,2020-03-02
0098c1f1ba,308341675,2,2019-09-25,2019-09-25,sg,01,2020-01-09,NA,2020-03-02
00a0808d18,308262143,2,2019-09-22,2019-09-22,NA,NA,2019-10-21,NA,2020-03-02
00a21541cf,311097071,2,2019-12-18,2019-12-18,NA,NA,2020-01-09,NA,2020-03-02
00a7b7e137,308771359,2,2019-10-09,2019-10-09,NA,NA,2020-01-09,NA,2020-03-02
00a8bcf1a4,69321347,2,2019-03-28,2019-03-28,ie,d,2019-10-21,NA,2020-03-02
00a9c94d25,64260571,2,2018-12-06,2018-12-06,NA,NA,2019-10-21,NA,2020-03-02
00ad875514,311622099,2,2020-01-22,2020-01-22,NA,NA,2020-01-22,NA,2020-03-02
00ae2d0141,65412023,2,2018-12-24,2018-12-24,in,ka,2019-10-21,NA,2020-03-02
00b0be1342,62996911,2,2018-11-19,2018-11-19,in,dl,2020-01-09,NA,2020-03-02
00b48b4139,311388891,2,2020-01-06,2020-01-06,ma,03,2020-02-05,NA,2020-03-02
00b77bb859,308116499,2,2019-09-13,2019-09-13,NA,NA,2020-01-09,NA,2020-03-02
00b951c8dc,311044519,2,2019-12-16,2019-12-16,us,oh,2019-12-16,NA,2020-03-02
00ba73f740,70502959,2,2019-04-26,2019-04-26,NA,NA,2020-01-09,NA,2020-03-02
00bb916e83,63058851,2,2018-11-19,2018-11-19,kr,11,2019-10-21,NA,2020-03-02
00bdfae036,70774239,2,2018-11-05,2019-05-06,in,ka,2020-01-22,NA,2020-03-02
00c428a9e3,69755023,2,2019-04-10,2019-04-10,id,ji,2019-10-21,NA,2020-03-02
00c69caf7f,309204883,2,2019-11-02,2019-11-02,NA,NA,2019-11-02,NA,2020-03-02
